sim_seed,sim_pop_mu,sim_pop_mu_sd,sim_pop_beta,sim_pop_beta_sd,sim_sigma,mod_pop_mu,mod_pop_mu_sd,mod_pop_beta,mod_pop_beta_sd,mod_sigma
1,400,50,7,0.1,100,415.9018396685818,30.731499945807435,7.0368634664980725,0.0725968784495302,4.502365371081165
1,400,50,7,0.2,100,419.8649146626981,30.665358183010188,7.052849595949426,0.17904037656343486,4.499768745492241
1,400,50,7.2,0.1,100,418.4268272043455,35.46951564572967,7.237467919869664,0.043595335647630615,4.498589808932141
1,400,50,7.2,0.2,100,424.15659749220004,36.45084798440516,7.253701010826379,0.16800477591889534,4.500679346686788
1,400,50,7.4,0.1,100,420.7770637313602,51.98542132768972,7.438186109009781,0.0443270745235234,4.499594049224352
1,400,50,7.4,0.2,100,420.91891969353804,49.94676151565274,7.458694775061553,0.16003843083957672,4.5002056989051065
1,400,50,7.6,0.1,100,420.40570310042796,68.84142312813002,7.640597281997046,0.04810567856410649,4.5018885637876
1,400,50,7.6,0.2,100,423.80944880882106,67.10800386571167,7.660186313269959,0.1695742028500176,4.503601762061795
1,400,100,7,0.1,100,421.0006130754762,81.00955782299293,7.03645687035988,0.06292869019568607,4.500828467793489
1,400,100,7,0.2,100,422.8071197866672,69.2727309707183,7.054506940256752,0.17780157104126254,4.499653952260563
1,400,100,7.2,0.1,100,419.2017378750189,66.24904549060669,7.241182874350736,0.04551046173036139,4.500346558382464
1,400,100,7.2,0.2,100,422.58205795841496,64.79038845868561,7.256980361744343,0.17019164558983008,4.5006350757810365
1,400,100,7.4,0.1,100,420.08938708287576,85.4245910970065,7.442069743152247,0.04164583406800471,4.500316888553547
1,400,100,7.4,0.2,100,422.1328276892949,84.81672002400578,7.461910156615032,0.16444881847877993,4.496108359386266
1,400,100,7.6,0.1,100,421.2550268827743,98.85251286043517,7.641710784804871,0.05027990526672826,4.497771203132966
1,400,100,7.6,0.2,100,422.82524145159545,85.39352652962911,7.662266152229253,0.168614130766122,4.500823953254729
1,400,200,7,0.1,100,424.69574409537057,164.7829620740244,7.0418376834480085,0.059670837923890004,4.500566884235421
1,400,200,7,0.2,100,428.82077535476134,163.90881186012675,7.0524985715509825,0.18002641459685503,4.498758130935602
