sim_seed,sim_pop_mu,sim_pop_mu_sd,sim_pop_beta,sim_pop_beta_sd,sim_sigma,mod_pop_mu,mod_pop_mu_sd,mod_pop_beta,mod_pop_beta_sd,mod_sigma
10,0,50,7,0.1,100,19.371854914538595,31.732848358766283,6.969077265131892,0.1070322461323634,4.500722010412236
10,0,50,7,0.2,100,19.397508128615723,32.55365218735634,6.965927214390016,0.19505572856635212,4.499101469024802
10,0,50,7.2,0.1,100,25.499666556455953,37.680745081849345,7.170988646628011,0.10171347190955937,4.498885445178098
10,0,50,7.2,0.2,100,21.60509742924543,39.435462690402645,7.170792442900599,0.19308840453981638,4.499041521049554
10,0,50,7.4,0.1,100,25.826425865242044,45.511321577790284,7.376124056055119,0.10781385002813527,4.5004517540906095
10,0,50,7.4,0.2,100,27.37863365980218,43.75505678948402,7.373563269844407,0.19801301731914284,4.499960655950545
10,0,50,7.6,0.1,100,40.363704061929,54.200667239751176,7.575936446106644,0.1175790555247659,4.50058174549342
10,0,50,7.6,0.2,100,38.33999351826136,51.803228188314755,7.5731466210914,0.20007727991459323,4.502590831951653
10,0,100,7,0.1,100,-2.7946276179487994,64.40189078173954,6.972831881258474,0.10436338376750348,4.500970137348507
10,0,100,7,0.2,100,-5.490986429241049,75.98383363814689,6.972150340244905,0.19201767765204714,4.497421622426702
10,0,100,7.2,0.1,100,6.716387211331262,58.857686046711166,7.1715149584376094,0.1076342640639032,4.500675352661835
10,0,100,7.2,0.2,100,5.670109478619619,57.37888549684159,7.168256253225896,0.19726789143998938,4.501749363374084
10,0,100,7.4,0.1,100,20.6422197144951,50.56009538290751,7.3693506584868445,0.10864377257479395,4.501052639040961
10,0,100,7.4,0.2,100,17.834946507398076,53.66370872621581,7.368208645154756,0.19327529409195937,4.500129053188758
10,0,100,7.6,0.1,100,31.84296531299998,54.01879886454005,7.5697243224020765,0.1148428424856304,4.499603517129763
10,0,100,7.6,0.2,100,26.76379947858273,53.20737929104192,7.569953717654297,0.19847056348440545,4.500088999117025
10,0,200,7,0.1,100,-37.07077142439144,151.83977271489965,6.969159240099251,0.11141144155775538,4.501190957421582
10,0,200,7,0.2,100,-37.61166742430867,153.13600334859495,6.965820123133284,0.19878787286047322,4.498821240162404
10,0,200,7.2,0.1,100,-27.06905949400853,142.2774739780363,7.1688566022122595,0.10725677724295711,4.499370573957806
10,0,200,7.2,0.2,100,-28.759342849040614,147.2916933726235,7.16628484265992,0.19921180325811047,4.500050498706233
10,0,200,7.4,0.1,100,-19.013360461068398,139.07896932687302,7.370908497496138,0.11485745709189872,4.498565630898353
10,0,200,7.4,0.2,100,-23.379500812383174,145.26801515113252,7.3692275232628335,0.20129733341132391,4.501258137864382
10,0,200,7.6,0.1,100,-10.700156201386369,117.8069131762607,7.572004915157195,0.11766161684178877,4.498481850922173
10,0,200,7.6,0.2,100,-16.261424663439843,128.97568437134456,7.571305442837127,0.20338646813468794,4.500455520170919
10,100,50,7,0.1,100,108.60962828146735,39.87058084296082,6.978536349348335,0.1184174349614341,4.501390980888275
10,100,50,7,0.2,100,106.85404029120133,35.889836537119365,6.974986749605932,0.19805723810973075,4.5004186083912145
10,100,50,7.2,0.1,100,115.30130147426019,44.045245817533925,7.178884324048309,0.11692887470885968,4.4997219085148235
10,100,50,7.2,0.2,100,113.38469337825255,38.28704883986211,7.177966509827138,0.20317842625231852,4.4989657138215335
10,100,50,7.4,0.1,100,117.01000269937134,44.620705794565495,7.382785308455035,0.1103755797280953,4.499490597592244
10,100,50,7.4,0.2,100,117.91964331035112,45.910601229371736,7.379598349052616,0.20011515028863727,4.4991427036457825
10,100,50,7.6,0.1,100,122.32718677183212,52.159738908641685,7.585018160024355,0.1050106733396261,4.501808366185411
10,100,50,7.6,0.2,100,120.20134881437765,50.81741217481881,7.582440883222232,0.19602539960554666,4.4999121440205005
10,100,100,7,0.1,100,99.21284453131469,62.424677626415935,6.9704625214311235,0.11388821257233167,4.499715267397698
10,100,100,7,0.2,100,94.52022644894595,71.355143630919315,6.969874051544913,0.20089688442189851,4.49931725357442
10,100,100,7.2,0.1,100,101.36847890808068,66.44020082391019,7.174631631873785,0.11255813871441128,4.500019967690886
10,100,100,7.2,0.2,100,101.54051496646265,65.45766312451532,7.171269527337825,0.20362645149826672,4.500262423461511
10,100,100,7.4,0.1,100,104.85511832200773,59.44522877472699,7.378711296594629,0.10539806078627144,4.500024555043185
10,100,100,7.4,0.2,100,104.19597891455179,64.34336039923564,7.373642102502672,0.19657244879365393,4.499031007269128
10,100,100,7.6,0.1,100,114.20021486995913,60.565153939773204,7.579459005391978,0.10667019686132442,4.498677838360805
10,100,100,7.6,0.2,100,112.10353546363852,65.08075630679616,7.577175033793626,0.19363755851073264,4.500175683009616
10,100,200,7,0.1,100,52.78278655055857,144.47281590540214,6.980816238292486,0.10003821785042077,4.5003451707396245
10,100,200,7,0.2,100,49.93755285247031,145.14070429160734,6.97818613180201,0.19244266635369942,4.499962773101011
10,100,200,7.2,0.1,100,63.401127680795746,140.00957493062796,7.176658760578072,0.10504532941056667,4.499638126224164
10,100,200,7.2,0.2,100,54.031118655584855,148.05548003589755,7.178659772540442,0.19364998007551956,4.498917891259018
10,100,200,7.4,0.1,100,68.24636413632801,133.92144283591963,7.378761314370044,0.09814892190067358,4.4986496845446
10,100,200,7.4,0.2,100,64.8991651126625,139.53510130194618,7.376070565722781,0.19993761799695411,4.497871896358306
10,100,200,7.6,0.1,100,86.00061395643475,126.75145296812485,7.5741601227979745,0.1066835133968904,4.500172559252197
10,100,200,7.6,0.2,100,80.98645890169583,132.86383756539075,7.571214673243836,0.19417076491845167,4.499457065780506
10,200,50,7,0.1,100,200.8098042538991,29.844617661165344,6.987632020506111,0.09147532844617741,4.500373264985689
10,200,50,7,0.2,100,198.28523590225876,29.61449268341601,6.985082569631438,0.18359558131908105,4.4988276198180746
