sim_seed,sim_pop_mu,sim_pop_mu_sd,sim_pop_beta,sim_pop_beta_sd,sim_sigma,mod_pop_mu,mod_pop_mu_sd,mod_pop_beta,mod_pop_beta_sd,mod_sigma
1,0,50,7,0.1,100,7.939149187490023,50.20821977412152,7.045670307496823,0.05405644599198209,4.49938225841399
2,0,50,7,0.1,100,18.841334652504298,44.89137891601989,6.985555392288052,0.13392229010297035,4.501688372134923
3,0,50,7,0.1,100,9.491085112808594,35.893721514350375,6.993055161422082,0.077502291222645,4.501276492102434
4,0,50,7,0.1,100,49.449748275799344,29.609350361695874,7.002583069226167,0.07505574947922941,4.5011748815627675
5,0,50,7,0.1,100,4.044118373816722,26.160469042150723,6.970804637265474,0.10452209993188531,4.497756749644317
1,0,50,7,0.2,100,9.7585888253399,49.882896065970115,7.065347121748705,0.177204409939031,4.49949813124404
2,0,50,7,0.2,100,16.695800998263536,44.158211938591165,6.969454616892673,0.2579211119105116,4.49759173523765
3,0,50,7,0.2,100,9.879124199480618,37.45075111954642,6.994604082396429,0.1728381050011542,4.496661241807541
4,0,50,7,0.2,100,53.44815943965715,29.379205847112452,7.000587752860018,0.17877727492687032,4.498304375895118
5,0,50,7,0.2,100,7.877112706811639,23.800797275315777,6.953409119563449,0.20833350365030867,4.499648786787692
1,0,50,7.2,0.1,100,11.340174160704633,49.23085547537228,7.244176529049589,0.04950698198754529,4.499970684969319
2,0,50,7.2,0.1,100,21.1629992948799,50.392467439772076,7.186061709640395,0.13424620334759288,4.5001351328610895
3,0,50,7.2,0.1,100,14.226676911786964,43.1735475939681,7.191469278036722,0.07876201376662886,4.501058356037227
4,0,50,7.2,0.1,100,59.11821176005967,36.01535171677847,7.199893748394566,0.0760311568471577,4.499313508012364
5,0,50,7.2,0.1,100,4.947358125718354,28.909489570328354,7.168544412218273,0.1070484036891694,4.500658293287379
1,0,50,7.2,0.2,100,14.39694622070901,51.370865750765915,7.2625073865618335,0.17352275306309603,4.500218176552749
2,0,50,7.2,0.2,100,15.452735795478054,49.47216768333397,7.1730818512064225,0.2554956764446699,4.499886711085666
3,0,50,7.2,0.2,100,13.425741203119866,40.56846642260814,7.195798802852362,0.1768675950461114,4.499381124330463
4,0,50,7.2,0.2,100,60.196900123466,32.9331023457286,7.1994271322794985,0.1766704672101873,4.497577357361914
5,0,50,7.2,0.2,100,8.175728578175404,26.91395128938959,7.1538270584523795,0.20883045058242952,4.4997962452748075
1,0,50,7.4,0.1,100,17.917466633983448,53.33699801807135,7.440380179164936,0.05185709086242941,4.500631864337875
2,0,50,7.4,0.1,100,22.71848578479165,49.715704755709034,7.38649109992737,0.13845976777815616,4.500115346428245
3,0,50,7.4,0.1,100,14.960032671287237,46.785550205565904,7.393204671375719,0.07824850750761743,4.50117690285
4,0,50,7.4,0.1,100,69.91087082001731,45.12319353336701,7.398386582350382,0.07685063585254703,4.499543242134267
5,0,50,7.4,0.1,100,7.116916346347512,34.87201211399889,7.36752908719649,0.10316240550550845,4.49872445069311
1,0,50,7.4,0.2,100,22.645516310672576,54.79575532798914,7.457950687887503,0.17488336949927924,4.496550408829013
2,0,50,7.4,0.2,100,15.891941615011508,53.78807640676436,7.3729617430208085,0.25461932304149143,4.496333946993193
3,0,50,7.4,0.2,100,17.815812167547865,53.05855554070018,7.39389007684441,0.17801211692156932,4.501255566701416
4,0,50,7.4,0.2,100,67.8322968769245,43.1678942748177,7.39967096518436,0.17968176026996457,4.500917155745523
5,0,50,7.4,0.2,100,9.79975706153982,34.258805528537394,7.35399938964494,0.2092849635083361,4.500429380414192
1,0,50,7.6,0.1,100,22.2858910907288,54.060579702199426,7.639573746881954,0.05016967726228921,4.49999708384371
2,0,50,7.6,0.1,100,30.958646828542875,52.29332500501306,7.582940632836645,0.1403013628098372,4.5000280149224245
3,0,50,7.6,0.1,100,22.198784982402987,57.86128709757182,7.591660274604556,0.07986564304954225,4.4982245039718105
4,0,50,7.6,0.1,100,82.54617470204866,52.53646054468695,7.596676051755666,0.07923257517525523,4.4993461533612304
5,0,50,7.6,0.1,100,6.990591792562931,41.26589129149931,7.567120690677122,0.10543605558257625,4.499701322018542
1,0,50,7.6,0.2,100,27.199538383093675,55.65397609834874,7.658237429734682,0.17273724748955452,4.5015250232460176
2,0,50,7.6,0.2,100,22.184363520955653,55.223988020927074,7.56911793135324,0.2542875280022478,4.499757426948
3,0,50,7.6,0.2,100,25.993129409286762,58.64978681233495,7.594323054686343,0.17539197180971822,4.50075093158645
4,0,50,7.6,0.2,100,80.2412682568018,50.036758388185106,7.598145641001214,0.18066513401191706,4.499866285311467
5,0,50,7.6,0.2,100,10.210741997542247,39.15545813512794,7.553103580236902,0.20578041059077953,4.499304089032936
1,0,100,7,0.1,100,10.935097251037421,96.76867952864811,7.045641921972529,0.04897424003520034,4.501678805676969
2,0,100,7,0.1,100,32.74120653410951,102.93010971322018,6.984151164937539,0.13203312092484906,4.499514532151361
3,0,100,7,0.1,100,9.432921643035002,68.7718914578241,6.987188572238582,0.08397334277420426,4.500968369783206
4,0,100,7,0.1,100,76.16915530792447,66.6613328495015,6.997524268068104,0.08824197634730459,4.500375514991744
